Cancer Type	Primary Site	Abbreviations	ENSEMBL Gene ID	HGNC Symbol	caGESP Tier
Uveal Melanoma	Eye	UVM	ENSG00000135404	CD63	Tier I
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000110848	CD69	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000125726	CD70	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000125726	CD70	Tier I
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000019582	CD74	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000105369	CD79A	Tier I
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000007312	CD79B	Tier I
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000121594	CD80	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000112149	CD83	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000066294	CD84	Tier III
Esophageal carcinoma	Esophagus	ESCA	ENSG00000163814	CDCP1	Tier III
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000163814	CDCP1	Tier III
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000039068	CDH1	Tier III
Colon adenocarcinoma	Colon	COAD	ENSG00000039068	CDH1	Tier III
Esophageal carcinoma	Esophagus	ESCA	ENSG00000039068	CDH1	Tier II
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000039068	CDH1	Tier III
Rectum adenocarcinoma	Rectal	READ	ENSG00000039068	CDH1	Tier III
Thyroid carcinoma	Thyroid	THCA	ENSG00000039068	CDH1	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000040731	CDH10	Tier II
Colon adenocarcinoma	Colon	COAD	ENSG00000079112	CDH17	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000079112	CDH17	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000101542	CDH20	Tier II
Cervical squamous cell carcinoma and endocervical adenocarcinoma	Cervix	CESC	ENSG00000062038	CDH3	Tier III
Esophageal carcinoma	Esophagus	ESCA	ENSG00000062038	CDH3	Tier III
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000062038	CDH3	Tier I
Lung squamous cell carcinoma	Lung	LUSC	ENSG00000062038	CDH3	Tier III
Thymoma	Thymus	THYM	ENSG00000062038	CDH3	Tier III
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000113361	CDH6	Tier III
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000113361	CDH6	Tier II
Colon adenocarcinoma	Colon	COAD	ENSG00000105388	CEACAM5	Tier I
Esophageal carcinoma	Esophagus	ESCA	ENSG00000105388	CEACAM5	Tier I
Lung adenocarcinoma	Lung	LUAD	ENSG00000105388	CEACAM5	Tier II
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000105388	CEACAM5	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000105388	CEACAM5	Tier I
Stomach adenocarcinoma	Stomach	STAD	ENSG00000105388	CEACAM5	Tier I
Colon adenocarcinoma	Colon	COAD	ENSG00000086548	CEACAM6	Tier I
Lung adenocarcinoma	Lung	LUAD	ENSG00000086548	CEACAM6	Tier I
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000086548	CEACAM6	Tier I
Rectum adenocarcinoma	Rectal	READ	ENSG00000086548	CEACAM6	Tier I
Breast invasive carcinoma	Breast	BRCA	ENSG00000075275	CELSR1	Tier III
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000168539	CHRM1	Tier II
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000120903	CHRNA2	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000080644	CHRNA3	Tier I
Thymoma	Thymus	THYM	ENSG00000080644	CHRNA3	Tier I
Bladder Urothelial Carcinoma	Bladder	BLCA	ENSG00000169684	CHRNA5	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000169684	CHRNA5	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000175344	CHRNA7	Tier II
Glioblastoma multiforme	Brain	GBM	ENSG00000174343	CHRNA9	Tier I
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000117971	CHRNB4	Tier I
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000137975	CLCA2	Tier I
Kidney Chromophobe	Kidney	KICH	ENSG00000184908	CLCNKB	Tier I
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000134873	CLDN10	Tier III
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000113946	CLDN16	Tier II
Thyroid carcinoma	Thyroid	THCA	ENSG00000113946	CLDN16	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000165376	CLDN2	Tier II
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000165376	CLDN2	Tier II
Colon adenocarcinoma	Colon	COAD	ENSG00000165215	CLDN3	Tier II
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000165215	CLDN3	Tier II
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000165215	CLDN3	Tier I
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000165215	CLDN3	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000165215	CLDN3	Tier II
Thyroid carcinoma	Thyroid	THCA	ENSG00000165215	CLDN3	Tier II
Uterine Corpus Endometrial Carcinoma	Uterine	UCEC	ENSG00000165215	CLDN3	Tier II
Bladder Urothelial Carcinoma	Bladder	BLCA	ENSG00000189143	CLDN4	Tier II
Colon adenocarcinoma	Colon	COAD	ENSG00000189143	CLDN4	Tier II
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000189143	CLDN4	Tier II
Lung adenocarcinoma	Lung	LUAD	ENSG00000189143	CLDN4	Tier II
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000189143	CLDN4	Tier II
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000189143	CLDN4	Tier II
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000189143	CLDN4	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000189143	CLDN4	Tier II
Stomach adenocarcinoma	Stomach	STAD	ENSG00000189143	CLDN4	Tier II
Thyroid carcinoma	Thyroid	THCA	ENSG00000189143	CLDN4	Tier II
Uterine Corpus Endometrial Carcinoma	Uterine	UCEC	ENSG00000189143	CLDN4	Tier III
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000184697	CLDN6	Tier I
Uterine Corpus Endometrial Carcinoma	Uterine	UCEC	ENSG00000184697	CLDN6	Tier II
Uterine Carcinosarcoma	Uterine	UCS	ENSG00000184697	CLDN6	Tier I
Testicular Germ Cell Tumors	Testis	TGCT	ENSG00000184697	CLDN6	Tier I
Colon adenocarcinoma	Colon	COAD	ENSG00000181885	CLDN7	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000181885	CLDN7	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000156284	CLDN8	Tier I
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000156284	CLDN8	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000172322	CLEC12A	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000184293	CLECL1	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000018236	CNTN1	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000018236	CNTN1	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000155052	CNTNAP5	Tier I
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000065618	COL17A1	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000134376	CRB1	Tier II
Mesothelioma	Pleura	MESO	ENSG00000148204	CRB2	Tier I
Kidney Chromophobe	Kidney	KICH	ENSG00000130545	CRB3	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000164796	CSMD3	Tier II
Glioblastoma multiforme	Brain	GBM	ENSG00000114646	CSPG5	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000114646	CSPG5	Tier I
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000100448	CTSG	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000107611	CUBN	Tier III
Esophageal carcinoma	Esophagus	ESCA	ENSG00000154639	CXADR	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000160683	CXCR5	Tier III
Thyroid carcinoma	Thyroid	THCA	ENSG00000164935	DCSTAMP	Tier I
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000080166	DCT	Tier I
Glioblastoma multiforme	Brain	GBM	ENSG00000204580	DDR1	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000204580	DDR1	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000140323	DISP2	Tier III
Adrenocortical carcinoma	Adrenal Gland	ACC	ENSG00000185559	DLK1	Tier I
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000185559	DLK1	Tier I
Glioblastoma multiforme	Brain	GBM	ENSG00000090932	DLL3	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000090932	DLL3	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000187957	DNER	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000130226	DPP6	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000130226	DPP6	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000149295	DRD2	Tier II
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000046604	DSG2	Tier III
Colon adenocarcinoma	Colon	COAD	ENSG00000046604	DSG2	Tier III
Esophageal carcinoma	Esophagus	ESCA	ENSG00000046604	DSG2	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000046604	DSG2	Tier II
Lung squamous cell carcinoma	Lung	LUSC	ENSG00000046604	DSG2	Tier III
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000046604	DSG2	Tier III
Rectum adenocarcinoma	Rectal	READ	ENSG00000046604	DSG2	Tier III
Stomach adenocarcinoma	Stomach	STAD	ENSG00000046604	DSG2	Tier III
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000134757	DSG3	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000149599	DUSP15	Tier I
Adrenocortical carcinoma	Adrenal Gland	ACC	ENSG00000158813	EDA	Tier III
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000136160	EDNRB	Tier III
Uveal Melanoma	Eye	UVM	ENSG00000225968	ELFN1	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000170571	EMB	Tier II
Liver hepatocellular carcinoma	Liver	LIHC	ENSG00000182156	ENPP7	Tier II
Colon adenocarcinoma	Colon	COAD	ENSG00000119888	EPCAM	Tier I
Lung adenocarcinoma	Lung	LUAD	ENSG00000119888	EPCAM	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000119888	EPCAM	Tier I
Stomach adenocarcinoma	Stomach	STAD	ENSG00000119888	EPCAM	Tier II
Thyroid carcinoma	Thyroid	THCA	ENSG00000119888	EPCAM	Tier II
Uterine Corpus Endometrial Carcinoma	Uterine	UCEC	ENSG00000119888	EPCAM	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000070886	EPHA8	Tier II
Colon adenocarcinoma	Colon	COAD	ENSG00000133216	EPHB2	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000133216	EPHB2	Tier I
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000135472	FAIM2	Tier I
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000160867	FGFR4	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000126500	FLRT1	Tier II
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000125848	FLRT3	Tier III
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000102755	FLT1	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000122025	FLT3	Tier I
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000086205	FOLH1	Tier I
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000110195	FOLR1	Tier I
Uterine Carcinosarcoma	Uterine	UCS	ENSG00000180340	FZD2	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000011677	GABRA3	Tier II
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000182256	GABRG3	Tier II
Glioblastoma multiforme	Brain	GBM	ENSG00000172020	GAP43	Tier I
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000100031	GGT1	Tier III
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000100031	GGT1	Tier II
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000100031	GGT1	Tier II
Testicular Germ Cell Tumors	Testis	TGCT	ENSG00000135355	GJA10	Tier II
Liver hepatocellular carcinoma	Liver	LIHC	ENSG00000169562	GJB1	Tier II
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000165474	GJB2	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000087460	GNAS	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000135052	GOLM1	Tier II
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000135052	GOLM1	Tier II
Colon adenocarcinoma	Colon	COAD	ENSG00000143167	GPA33	Tier II
Liver hepatocellular carcinoma	Liver	LIHC	ENSG00000147257	GPC3	Tier III
Glioblastoma multiforme	Brain	GBM	ENSG00000150625	GPM6A	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000150625	GPM6A	Tier I
Glioblastoma multiforme	Brain	GBM	ENSG00000046653	GPM6B	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000046653	GPM6B	Tier II
Lung squamous cell carcinoma	Lung	LUSC	ENSG00000136235	GPNMB	Tier II
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000136235	GPNMB	Tier II
Uveal Melanoma	Eye	UVM	ENSG00000136235	GPNMB	Tier II
Uveal Melanoma	Eye	UVM	ENSG00000077585	GPR137B	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000101850	GPR143	Tier II
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000101850	GPR143	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000101850	GPR143	Tier I
Rectum adenocarcinoma	Rectal	READ	ENSG00000173890	GPR160	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000144230	GPR17	Tier III
Colon adenocarcinoma	Colon	COAD	ENSG00000178623	GPR35	Tier III
Rectum adenocarcinoma	Rectal	READ	ENSG00000178623	GPR35	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000170075	GPR37L1	Tier II
Cervical squamous cell carcinoma and endocervical adenocarcinoma	Cervix	CESC	ENSG00000138271	GPR87	Tier II
Lung adenocarcinoma	Lung	LUAD	ENSG00000013588	GPRC5A	Tier III
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000013588	GPRC5A	Tier III
Stomach adenocarcinoma	Stomach	STAD	ENSG00000013588	GPRC5A	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000167191	GPRC5B	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000173612	GPRC6A	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000125675	GRIA3	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000152578	GRIA4	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000182771	GRID1	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000152208	GRID2	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000149403	GRIK4	Tier III
Colon adenocarcinoma	Colon	COAD	ENSG00000105464	GRIN2D	Tier II
Esophageal carcinoma	Esophagus	ESCA	ENSG00000105464	GRIN2D	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000105464	GRIN2D	Tier II
Stomach adenocarcinoma	Stomach	STAD	ENSG00000105464	GRIN2D	Tier II
Rectum adenocarcinoma	Rectal	READ	ENSG00000179603	GRM8	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000170180	GYPA	Tier II
Mesothelioma	Pleura	MESO	ENSG00000105509	HAS1	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000113249	HAVCR1	Tier I
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000113249	HAVCR1	Tier I
Glioblastoma multiforme	Brain	GBM	ENSG00000165478	HEPACAM	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000165478	HEPACAM	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000204257	HLA-DMA	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000204252	HLA-DOA	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000223865	HLA-DPB1	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000196735	HLA-DQA1	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000237541	HLA-DQA2	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000179344	HLA-DQB1	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000204287	HLA-DRA	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000196126	HLA-DRB1	Tier II
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000143341	HMCN1	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000072571	HMMR	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000072571	HMMR	Tier III
Liver hepatocellular carcinoma	Liver	LIHC	ENSG00000086696	HSD17B2	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000166736	HTR3A	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000128322	IGLL1	Tier I
Head and Neck squamous cell carcinoma	Head and Neck	HNSC	ENSG00000143061	IGSF3	Tier III
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000143061	IGSF3	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000123496	IL13RA2	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000103522	IL21R	Tier I
Kidney Chromophobe	Kidney	KICH	ENSG00000145103	ILDR1	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000027644	INSRR	Tier III
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000005884	ITGA3	Tier II
Thyroid carcinoma	Thyroid	THCA	ENSG00000005884	ITGA3	Tier II
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000115232	ITGA4	Tier I
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000005844	ITGAL	Tier II
Lung adenocarcinoma	Lung	LUAD	ENSG00000115221	ITGB6	Tier III
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000115221	ITGB6	Tier III
Mesothelioma	Pleura	MESO	ENSG00000179914	ITLN1	Tier I
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000146049	KAAG1	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000184408	KCND2	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000168418	KCNG4	Tier I
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000140015	KCNH5	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000177807	KCNJ10	Tier II
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000153822	KCNJ16	Tier III
Thyroid carcinoma	Thyroid	THCA	ENSG00000153822	KCNJ16	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000169427	KCNK9	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000075043	KCNQ2	Tier II
Cervical squamous cell carcinoma and endocervical adenocarcinoma	Cervix	CESC	ENSG00000124134	KCNS1	Tier I
