"rownames(HR_result)"	"beta"	"HR"	"HR_CI.95..CI.for.HR."	"Likelihood.test"	"p.value"
"23"	"A0A0C4DH31"	"0.11"	"1.1"	" (0.72-1.7)"	"0.26"	"0.61"
"24"	"A0A0C4DH33"	"0.1"	"1.1"	" (0.75-1.6)"	"0.27"	"0.6"
"25"	"A0A0C4DH34"	"-0.025"	"0.98"	" (0.67-1.4)"	"0.017"	"0.9"
"26"	"A0A0C4DH35"	"0.034"	"1"	" (0.71-1.5)"	"0.033"	"0.86"
"27"	"A0A0C4DH36"	"0.11"	"1.1"	" (0.73-1.7)"	"0.26"	"0.61"
"28"	"A0A0C4DH38"	"0.025"	"1"	" (0.71-1.5)"	"0.017"	"0.9"
"29"	"A0A0J9YVY3"	"0.26"	"1.3"	" (0.88-1.9)"	"1.7"	"0.19"
"30"	"A0A0J9YX35"	"0.14"	"1.2"	" (0.79-1.7)"	"0.56"	"0.46"
"31"	"A0A0J9YXX1"	"-0.13"	"0.88"	" (0.6-1.3)"	"0.46"	"0.5"
"32"	"A0AV96"	"-0.12"	"0.88"	" (0.61-1.3)"	"0.43"	"0.51"
"33"	"A0AVF1"	"-0.22"	"0.8"	" (0.54-1.2)"	"1.3"	"0.25"
"34"	"A0AVT1"	"0.44"	"1.6"	" (1.1-2.3)"	"5.3"	"0.021"
"35"	"A0FGR8"	"0.23"	"1.3"	" (0.86-1.8)"	"1.4"	"0.23"
"36"	"A0JNW5"	"-0.17"	"0.84"	" (0.58-1.2)"	"0.81"	"0.37"
"37"	"A0M8Q6"	"0.5"	"1.6"	" (1.1-2.4)"	"6.8"	"0.009"
"38"	"A0MZ66"	"-0.32"	"0.73"	" (0.5-1.1)"	"2.8"	"0.096"
"39"	"A0PJW6"	"-0.34"	"0.71"	" (0.48-1.1)"	"2.8"	"0.096"
"40"	"A0PJZ3"	"0.046"	"1"	" (0.7-1.6)"	"0.051"	"0.82"
"41"	"A0PK00"	"0.16"	"1.2"	" (0.8-1.7)"	"0.65"	"0.42"
"42"	"A1A4S6"	"-0.18"	"0.84"	" (0.58-1.2)"	"0.88"	"0.35"
"43"	"A1A5D9"	"-0.13"	"0.87"	" (0.6-1.3)"	"0.47"	"0.49"
"44"	"A1IGU5"	"-0.22"	"0.8"	" (0.56-1.2)"	"1.3"	"0.25"
"45"	"A1L0T0"	"-0.14"	"0.87"	" (0.6-1.3)"	"0.58"	"0.45"
"46"	"A1L157"	"0.27"	"1.3"	" (0.88-1.9)"	"1.8"	"0.18"
"47"	"A1L188"	"-0.077"	"0.93"	" (0.62-1.4)"	"0.14"	"0.7"
"48"	"A1L390"	"0.26"	"1.3"	" (0.89-1.9)"	"1.9"	"0.17"
"49"	"A1L4H1"	"-0.21"	"0.81"	" (0.56-1.2)"	"1.2"	"0.27"
"50"	"A1X283"	"0.19"	"1.2"	" (0.83-1.7)"	"0.98"	"0.32"
"51"	"A2RRP1"	"0.19"	"1.2"	" (0.83-1.8)"	"0.97"	"0.33"
"52"	"A2RTX5"	"-0.5"	"0.61"	" (0.41-0.9)"	"6.3"	"0.012"
"53"	"A2RU48"	"-0.13"	"0.88"	" (0.6-1.3)"	"0.45"	"0.5"
"54"	"A2RUC4"	"0.33"	"1.4"	" (0.95-2)"	"3"	"0.086"
"55"	"A2RUS2"	"0.34"	"1.4"	" (0.96-2.1)"	"3.1"	"0.081"
"56"	"A3KMH1"	"-0.14"	"0.87"	" (0.6-1.3)"	"0.54"	"0.46"
"57"	"A3KN83"	"0.13"	"1.1"	" (0.79-1.7)"	"0.5"	"0.48"
"58"	"A4D126"	"-0.075"	"0.93"	" (0.63-1.4)"	"0.14"	"0.71"
"59"	"A4D1E9"	"0.24"	"1.3"	" (0.88-1.9)"	"1.7"	"0.2"
"60"	"A4D1P6"	"-0.2"	"0.82"	" (0.57-1.2)"	"1.1"	"0.29"
"61"	"A4D1S5"	"-0.3"	"0.74"	" (0.51-1.1)"	"2.4"	"0.12"
"62"	"A4D1U4"	"0.29"	"1.3"	" (0.87-2)"	"1.8"	"0.18"
"63"	"A4FU01"	"0.016"	"1"	" (0.7-1.5)"	"0.0068"	"0.93"
"64"	"A5A3E0"	"-0.015"	"0.99"	" (0.68-1.4)"	"0.0061"	"0.94"
"65"	"A5D8V6"	"-0.0023"	"1"	" (0.68-1.5)"	"0.00014"	"0.99"
"66"	"A5PLL7"	"0.27"	"1.3"	" (0.89-1.9)"	"1.9"	"0.17"
"67"	"A5PLN9"	"0.076"	"1.1"	" (0.74-1.6)"	"0.16"	"0.69"
"68"	"A5YKK6"	"0.16"	"1.2"	" (0.81-1.7)"	"0.74"	"0.39"
"69"	"A5YM69"	"-0.28"	"0.76"	" (0.5-1.2)"	"1.7"	"0.19"
"70"	"A6NC98"	"0.36"	"1.4"	" (0.99-2.1)"	"3.6"	"0.057"
"71"	"A6ND36"	"-0.096"	"0.91"	" (0.59-1.4)"	"0.18"	"0.67"
"72"	"A6NDB9"	"-0.021"	"0.98"	" (0.68-1.4)"	"0.012"	"0.91"
"73"	"A6NDG6"	"0.31"	"1.4"	" (0.94-2)"	"2.7"	"0.1"
"74"	"A6NDU8"	"0.22"	"1.3"	" (0.86-1.8)"	"1.4"	"0.24"
"75"	"A6NEQ2"	"0.18"	"1.2"	" (0.81-1.8)"	"0.81"	"0.37"
"76"	"A6NFQ2"	"0.35"	"1.4"	" (0.98-2.1)"	"3.4"	"0.066"
"77"	"A6NHC0"	"0.23"	"1.3"	" (0.85-1.9)"	"1.3"	"0.26"
"78"	"A6NHL2"	"0.19"	"1.2"	" (0.84-1.8)"	"1"	"0.31"
"79"	"A6NHQ2"	"-0.21"	"0.81"	" (0.56-1.2)"	"1.2"	"0.28"
"80"	"A6NHR9"	"0.29"	"1.3"	" (0.92-1.9)"	"2.3"	"0.13"
"81"	"A6NHX0"	"-0.086"	"0.92"	" (0.61-1.4)"	"0.17"	"0.68"
"82"	"A6NI28"	"-0.1"	"0.9"	" (0.62-1.3)"	"0.28"	"0.6"
"83"	"A6NIH7"	"-0.18"	"0.84"	" (0.58-1.2)"	"0.91"	"0.34"
"84"	"A6NJ78"	"0.17"	"1.2"	" (0.78-1.8)"	"0.61"	"0.44"
"85"	"A6NKD9"	"0.2"	"1.2"	" (0.82-1.8)"	"0.94"	"0.33"
"86"	"A6NL88"	"-0.14"	"0.87"	" (0.57-1.3)"	"0.43"	"0.51"
"87"	"A6NMZ7"	"0.014"	"1"	" (0.7-1.5)"	"0.0058"	"0.94"
"88"	"A7E2V4"	"0.092"	"1.1"	" (0.76-1.6)"	"0.24"	"0.63"
"89"	"A7KAX9"	"-0.13"	"0.88"	" (0.61-1.3)"	"0.46"	"0.5"
"90"	"A8K2U0"	"0.11"	"1.1"	" (0.76-1.6)"	"0.34"	"0.56"
"91"	"A8K7I4"	"0.032"	"1"	" (0.71-1.5)"	"0.029"	"0.87"
"92"	"A8K855"	"-0.47"	"0.62"	" (0.4-0.97)"	"4.3"	"0.038"
"93"	"A8MW92"	"-0.035"	"0.97"	" (0.65-1.4)"	"0.03"	"0.86"
"94"	"A8MWY0"	"3.8e-05"	"1"	" (0.64-1.6)"	"2.8e-08"	"1"
"95"	"A8MXV4"	"0.34"	"1.4"	" (0.97-2)"	"3.1"	"0.076"
"96"	"A9UHW6"	"-0.37"	"0.69"	" (0.48-1)"	"3.8"	"0.051"
"97"	"B0I1T2"	"0.46"	"1.6"	" (1.1-2.3)"	"5.8"	"0.016"
"98"	"B2RTY4"	"0.16"	"1.2"	" (0.78-1.8)"	"0.59"	"0.44"
"99"	"C9JI98"	"-0.18"	"0.84"	" (0.58-1.2)"	"0.9"	"0.34"
"100"	"C9JLW8"	"0.028"	"1"	" (0.7-1.5)"	"0.021"	"0.88"
"101"	"E9PRG8"	"0.0092"	"1"	" (0.7-1.5)"	"0.0024"	"0.96"
"102"	"K7EJ46"	"0.57"	"1.8"	" (1.2-2.6)"	"8.7"	"0.0032"
"103"	"L0R6Q1"	"-0.29"	"0.75"	" (0.52-1.1)"	"2.3"	"0.13"
"104"	"L0R819"	"-0.13"	"0.88"	" (0.6-1.3)"	"0.42"	"0.52"
"105"	"O00115"	"-0.061"	"0.94"	" (0.65-1.4)"	"0.1"	"0.75"
"106"	"O00116"	"0.24"	"1.3"	" (0.88-1.8)"	"1.7"	"0.2"
"107"	"O00139"	"0.32"	"1.4"	" (0.95-2)"	"2.9"	"0.09"
"108"	"O00142"	"-0.13"	"0.88"	" (0.61-1.3)"	"0.48"	"0.49"
"109"	"O00148"	"0.051"	"1.1"	" (0.73-1.5)"	"0.072"	"0.79"
"110"	"O00151"	"0.07"	"1.1"	" (0.74-1.6)"	"0.14"	"0.71"
"111"	"O00154"	"-0.074"	"0.93"	" (0.64-1.3)"	"0.15"	"0.7"
"112"	"O00159"	"-0.52"	"0.6"	" (0.41-0.87)"	"7.4"	"0.0066"
"113"	"O00160"	"0.42"	"1.5"	" (1-2.2)"	"4.8"	"0.028"
"114"	"O00161"	"0.023"	"1"	" (0.71-1.5)"	"0.014"	"0.9"
"115"	"O00165"	"-0.0049"	"1"	" (0.68-1.5)"	"0.00064"	"0.98"
"116"	"O00170"	"0.028"	"1"	" (0.71-1.5)"	"0.023"	"0.88"
"117"	"O00178"	"0.37"	"1.5"	" (1-2.1)"	"3.9"	"0.049"
"118"	"O00182"	"0.089"	"1.1"	" (0.75-1.6)"	"0.22"	"0.64"
"119"	"O00186"	"-0.24"	"0.79"	" (0.54-1.1)"	"1.5"	"0.21"
"120"	"O00187"	"-0.035"	"0.97"	" (0.65-1.4)"	"0.03"	"0.86"
"121"	"O00189"	"-0.11"	"0.9"	" (0.6-1.4)"	"0.26"	"0.61"
"122"	"O00192"	"-0.28"	"0.76"	" (0.52-1.1)"	"2.1"	"0.14"
"123"	"O00193"	"-0.17"	"0.84"	" (0.58-1.2)"	"0.82"	"0.37"
"124"	"O00194"	"0.2"	"1.2"	" (0.84-1.8)"	"1.1"	"0.3"
"125"	"O00203"	"0.078"	"1.1"	" (0.75-1.6)"	"0.17"	"0.68"
"126"	"O00204"	"-0.0044"	"1"	" (0.68-1.5)"	"0.00051"	"0.98"
"127"	"O00213"	"-0.089"	"0.91"	" (0.59-1.4)"	"0.16"	"0.69"
"128"	"O00214"	"0.033"	"1"	" (0.71-1.5)"	"0.03"	"0.86"
"129"	"O00217"	"-0.19"	"0.83"	" (0.57-1.2)"	"0.98"	"0.32"
"130"	"O00221"	"-0.072"	"0.93"	" (0.63-1.4)"	"0.14"	"0.71"
"131"	"O00231"	"0.32"	"1.4"	" (0.95-2)"	"2.8"	"0.094"
"132"	"O00232"	"0.23"	"1.3"	" (0.87-1.8)"	"1.5"	"0.23"
"133"	"O00233"	"0.031"	"1"	" (0.71-1.5)"	"0.028"	"0.87"
"134"	"O00244"	"-0.14"	"0.87"	" (0.6-1.3)"	"0.53"	"0.47"
"135"	"O00255"	"0.24"	"1.3"	" (0.88-1.8)"	"1.6"	"0.21"
"136"	"O00264"	"0.28"	"1.3"	" (0.91-1.9)"	"2.2"	"0.14"
"137"	"O00267"	"-0.051"	"0.95"	" (0.66-1.4)"	"0.072"	"0.79"
"138"	"O00268"	"0.25"	"1.3"	" (0.88-1.9)"	"1.7"	"0.19"
"139"	"O00273"	"-0.37"	"0.69"	" (0.48-1)"	"3.7"	"0.053"
"140"	"O00291"	"-0.34"	"0.71"	" (0.49-1)"	"3.1"	"0.076"
"141"	"O00299"	"0.34"	"1.4"	" (0.97-2)"	"3.3"	"0.07"
"142"	"O00300"	"0.29"	"1.3"	" (0.85-2.1)"	"1.6"	"0.21"
"143"	"O00303"	"0.39"	"1.5"	" (1-2.2)"	"4.3"	"0.038"
"144"	"O00308"	"-0.0095"	"0.99"	" (0.68-1.4)"	"0.0024"	"0.96"
"145"	"O00329"	"0.11"	"1.1"	" (0.77-1.6)"	"0.36"	"0.55"
"146"	"O00330"	"-0.11"	"0.89"	" (0.62-1.3)"	"0.36"	"0.55"
"147"	"O00338"	"-0.34"	"0.71"	" (0.49-1)"	"3.1"	"0.076"
"148"	"O00339"	"-0.61"	"0.54"	" (0.37-0.79)"	"10"	"0.0014"
"149"	"O00391"	"0.38"	"1.5"	" (1-2.1)"	"4"	"0.047"
"150"	"O00399"	"0.0097"	"1"	" (0.7-1.5)"	"0.0026"	"0.96"
"151"	"O00400"	"0.12"	"1.1"	" (0.78-1.6)"	"0.41"	"0.52"
"152"	"O00401"	"-0.37"	"0.69"	" (0.48-1)"	"3.7"	"0.054"
"153"	"O00410"	"0.2"	"1.2"	" (0.84-1.8)"	"1.1"	"0.29"
"154"	"O00411"	"0.2"	"1.2"	" (0.79-1.9)"	"0.82"	"0.37"
"155"	"O00418"	"-0.51"	"0.6"	" (0.41-0.87)"	"7.3"	"0.007"
"156"	"O00422"	"0.077"	"1.1"	" (0.75-1.6)"	"0.16"	"0.69"
"157"	"O00423"	"-0.65"	"0.52"	" (0.36-0.76)"	"11"	"7e-04"
"158"	"O00425"	"0.2"	"1.2"	" (0.85-1.8)"	"1.2"	"0.28"
"159"	"O00429"	"0.34"	"1.4"	" (0.96-2)"	"3.1"	"0.077"
"160"	"O00442"	"0.09"	"1.1"	" (0.76-1.6)"	"0.23"	"0.63"
"161"	"O00443"	"0.22"	"1.2"	" (0.86-1.8)"	"1.3"	"0.25"
"162"	"O00458"	"-0.24"	"0.79"	" (0.53-1.2)"	"1.4"	"0.23"
"163"	"O00459"	"0.39"	"1.5"	" (1-2.1)"	"4.1"	"0.042"
"164"	"O00461"	"-0.21"	"0.81"	" (0.56-1.2)"	"1.3"	"0.26"
"165"	"O00462"	"0.51"	"1.7"	" (1.1-2.4)"	"7.1"	"0.0079"
"166"	"O00463"	"0.16"	"1.2"	" (0.77-1.8)"	"0.56"	"0.46"
"167"	"O00468"	"-0.1"	"0.9"	" (0.62-1.3)"	"0.3"	"0.58"
"168"	"O00469"	"0.88"	"2.4"	" (1.7-3.5)"	"21"	"4.7e-06"
"169"	"O00471"	"-0.057"	"0.94"	" (0.65-1.4)"	"0.089"	"0.76"
"170"	"O00478"	"-0.099"	"0.91"	" (0.62-1.3)"	"0.27"	"0.6"
"171"	"O00479"	"-0.37"	"0.69"	" (0.48-1)"	"3.7"	"0.053"
"172"	"O00481"	"0.027"	"1"	" (0.7-1.5)"	"0.018"	"0.89"
"173"	"O00483"	"-0.15"	"0.86"	" (0.59-1.2)"	"0.65"	"0.42"
"174"	"O00487"	"0.33"	"1.4"	" (0.96-2)"	"3.1"	"0.077"
"175"	"O00488"	"-0.23"	"0.79"	" (0.52-1.2)"	"1.1"	"0.29"
"176"	"O00499"	"-0.18"	"0.83"	" (0.57-1.2)"	"0.94"	"0.33"
"177"	"O00505"	"0.31"	"1.4"	" (0.94-2)"	"2.6"	"0.11"
"178"	"O00506"	"0.057"	"1.1"	" (0.73-1.5)"	"0.09"	"0.76"
"179"	"O00515"	"-0.11"	"0.9"	" (0.62-1.3)"	"0.31"	"0.58"
"180"	"O00519"	"-0.1"	"0.9"	" (0.62-1.3)"	"0.29"	"0.59"
"181"	"O00522"	"-0.0084"	"0.99"	" (0.68-1.4)"	"0.0019"	"0.96"
"182"	"O00533"	"-0.36"	"0.69"	" (0.48-1)"	"3.7"	"0.055"
"183"	"O00534"	"0.0026"	"1"	" (0.69-1.5)"	"0.00019"	"0.99"
"184"	"O00541"	"0.16"	"1.2"	" (0.81-1.7)"	"0.73"	"0.39"
"185"	"O00555"	"0.18"	"1.2"	" (0.77-1.9)"	"0.62"	"0.43"
"186"	"O00559"	"0.22"	"1.3"	" (0.85-1.8)"	"1.3"	"0.25"
"187"	"O00560"	"0.28"	"1.3"	" (0.91-1.9)"	"2.1"	"0.15"
"188"	"O00562"	"0.5"	"1.7"	" (1.1-2.4)"	"7"	"0.0084"
"189"	"O00566"	"0.23"	"1.3"	" (0.86-1.8)"	"1.4"	"0.23"
"190"	"O00567"	"0.076"	"1.1"	" (0.74-1.6)"	"0.16"	"0.69"
"191"	"O00570"	"0.19"	"1.2"	" (0.84-1.8)"	"1"	"0.31"
"192"	"O00571"	"0.29"	"1.3"	" (0.92-1.9)"	"2.3"	"0.13"
"193"	"O00584"	"0.33"	"1.4"	" (0.96-2)"	"3"	"0.082"
"194"	"O00592"	"-0.083"	"0.92"	" (0.63-1.3)"	"0.19"	"0.66"
"195"	"O00602"	"0.15"	"1.2"	" (0.79-1.7)"	"0.59"	"0.44"
"196"	"O00622"	"0.12"	"1.1"	" (0.78-1.6)"	"0.4"	"0.53"
"197"	"O00625"	"-0.036"	"0.97"	" (0.67-1.4)"	"0.035"	"0.85"
"198"	"O00628"	"-0.079"	"0.92"	" (0.61-1.4)"	"0.14"	"0.71"
"199"	"O00629"	"0.3"	"1.4"	" (0.93-2)"	"2.5"	"0.11"
"200"	"O00635"	"0.1"	"1.1"	" (0.76-1.6)"	"0.28"	"0.6"
"201"	"O00712"	"-0.44"	"0.65"	" (0.44-0.94)"	"5.3"	"0.021"
"202"	"O00743"	"0.14"	"1.1"	" (0.79-1.7)"	"0.51"	"0.48"
"203"	"O00748"	"-0.44"	"0.64"	" (0.44-0.93)"	"5.4"	"0.02"
"204"	"O00750"	"-0.066"	"0.94"	" (0.65-1.4)"	"0.12"	"0.73"
"205"	"O00754"	"0.31"	"1.4"	" (0.94-2)"	"2.6"	"0.11"
"206"	"O00757"	"0.12"	"1.1"	" (0.77-1.6)"	"0.36"	"0.55"
"207"	"O00762"	"0.45"	"1.6"	" (1.1-2.3)"	"5.2"	"0.023"
"208"	"O00764"	"0.16"	"1.2"	" (0.81-1.7)"	"0.75"	"0.39"
"209"	"O00767"	"0.23"	"1.3"	" (0.83-1.9)"	"1.2"	"0.27"
"210"	"O14493"	"0.091"	"1.1"	" (0.76-1.6)"	"0.23"	"0.63"
"211"	"O14494"	"0.067"	"1.1"	" (0.73-1.6)"	"0.12"	"0.73"
"212"	"O14495"	"-0.28"	"0.76"	" (0.52-1.1)"	"2.1"	"0.14"
"213"	"O14497"	"-0.05"	"0.95"	" (0.66-1.4)"	"0.069"	"0.79"
"214"	"O14498"	"0.13"	"1.1"	" (0.79-1.7)"	"0.48"	"0.49"
"215"	"O14503"	"0.14"	"1.2"	" (0.75-1.8)"	"0.43"	"0.51"
"216"	"O14521"	"-0.16"	"0.85"	" (0.59-1.2)"	"0.69"	"0.41"
"217"	"O14523"	"-0.0014"	"1"	" (0.67-1.5)"	"4.9e-05"	"0.99"
"218"	"O14524"	"-0.11"	"0.9"	" (0.61-1.3)"	"0.32"	"0.57"
"219"	"O14530"	"0.34"	"1.4"	" (0.97-2)"	"3.3"	"0.07"
"220"	"O14531"	"0.13"	"1.1"	" (0.78-1.6)"	"0.44"	"0.51"
"221"	"O14545"	"0.15"	"1.2"	" (0.79-1.7)"	"0.59"	"0.44"
"222"	"O14548"	"-0.071"	"0.93"	" (0.64-1.3)"	"0.14"	"0.71"
"223"	"O14558"	"-0.63"	"0.53"	" (0.37-0.78)"	"11"	"0.001"
"224"	"O14561"	"-0.12"	"0.89"	" (0.61-1.3)"	"0.41"	"0.52"
"225"	"O14562"	"0.11"	"1.1"	" (0.77-1.6)"	"0.34"	"0.56"
"226"	"O14576"	"-0.028"	"0.97"	" (0.67-1.4)"	"0.022"	"0.88"
"227"	"O14578"	"0.066"	"1.1"	" (0.7-1.6)"	"0.092"	"0.76"
"228"	"O14579"	"0.07"	"1.1"	" (0.74-1.6)"	"0.14"	"0.71"
"229"	"O14593"	"0.22"	"1.2"	" (0.81-1.9)"	"1"	"0.31"
"230"	"O14613"	"0.24"	"1.3"	" (0.86-1.9)"	"1.4"	"0.23"
"231"	"O14617"	"0.17"	"1.2"	" (0.82-1.7)"	"0.83"	"0.36"
"232"	"O14618"	"0.1"	"1.1"	" (0.77-1.6)"	"0.3"	"0.58"
"233"	"O14639"	"-0.39"	"0.67"	" (0.47-0.98)"	"4.3"	"0.038"
"234"	"O14641"	"-0.33"	"0.72"	" (0.5-1)"	"3"	"0.082"
"235"	"O14646"	"0.51"	"1.7"	" (1.1-2.4)"	"7.1"	"0.0076"
"236"	"O14647"	"0.19"	"1.2"	" (0.83-1.8)"	"0.99"	"0.32"
"237"	"O14653"	"-0.18"	"0.83"	" (0.57-1.2)"	"0.95"	"0.33"
"238"	"O14656"	"-0.13"	"0.88"	" (0.61-1.3)"	"0.44"	"0.51"
"239"	"O14657"	"0.25"	"1.3"	" (0.89-1.9)"	"1.8"	"0.18"
"240"	"O14662"	"0.046"	"1"	" (0.72-1.5)"	"0.06"	"0.81"
"241"	"O14672"	"-0.093"	"0.91"	" (0.63-1.3)"	"0.24"	"0.62"
"242"	"O14678"	"0.34"	"1.4"	" (0.96-2.1)"	"3"	"0.082"
"243"	"O14681"	"0.25"	"1.3"	" (0.88-1.9)"	"1.7"	"0.19"
"244"	"O14683"	"-0.09"	"0.91"	" (0.63-1.3)"	"0.23"	"0.64"
"245"	"O14684"	"0.38"	"1.5"	" (1-2.1)"	"4"	"0.046"
"246"	"O14686"	"-0.26"	"0.77"	" (0.53-1.1)"	"1.8"	"0.18"
"247"	"O14713"	"0.0094"	"1"	" (0.67-1.5)"	"0.0021"	"0.96"
"248"	"O14727"	"0.1"	"1.1"	" (0.77-1.6)"	"0.31"	"0.58"
"249"	"O14730"	"0.2"	"1.2"	" (0.84-1.8)"	"1.1"	"0.3"
"250"	"O14732"	"-0.37"	"0.69"	" (0.48-1)"	"3.8"	"0.051"
"251"	"O14733"	"-0.031"	"0.97"	" (0.66-1.4)"	"0.025"	"0.87"
"252"	"O14734"	"0.21"	"1.2"	" (0.85-1.8)"	"1.2"	"0.28"
"253"	"O14735"	"-0.41"	"0.67"	" (0.46-0.97)"	"4.6"	"0.033"
"254"	"O14737"	"0.068"	"1.1"	" (0.74-1.6)"	"0.13"	"0.72"
"255"	"O14744"	"-0.011"	"0.99"	" (0.68-1.4)"	"0.0034"	"0.95"
"256"	"O14745"	"-0.097"	"0.91"	" (0.63-1.3)"	"0.26"	"0.61"
"257"	"O14763"	"0.057"	"1.1"	" (0.69-1.6)"	"0.069"	"0.79"
"258"	"O14772"	"-0.12"	"0.89"	" (0.61-1.3)"	"0.41"	"0.52"
"259"	"O14773"	"0.4"	"1.5"	" (1-2.2)"	"4.4"	"0.035"
"260"	"O14776"	"0.22"	"1.2"	" (0.86-1.8)"	"1.3"	"0.25"
"261"	"O14782"	"-0.04"	"0.96"	" (0.61-1.5)"	"0.031"	"0.86"
"262"	"O14786"	"0.11"	"1.1"	" (0.77-1.6)"	"0.32"	"0.57"
"263"	"O14787"	"-0.15"	"0.86"	" (0.59-1.2)"	"0.66"	"0.42"
"264"	"O14791"	"0.21"	"1.2"	" (0.85-1.8)"	"1.2"	"0.27"
"265"	"O14795"	"0.18"	"1.2"	" (0.82-1.7)"	"0.9"	"0.34"
"266"	"O14802"	"-0.072"	"0.93"	" (0.64-1.3)"	"0.14"	"0.7"
"267"	"O14807"	"-0.14"	"0.87"	" (0.59-1.3)"	"0.45"	"0.5"
"268"	"O14815"	"-0.37"	"0.69"	" (0.46-1)"	"3.2"	"0.075"
"269"	"O14817"	"-0.041"	"0.96"	" (0.66-1.4)"	"0.046"	"0.83"
"270"	"O14818"	"0.31"	"1.4"	" (0.94-2)"	"2.7"	"0.1"
"271"	"O14828"	"-0.25"	"0.78"	" (0.54-1.1)"	"1.7"	"0.19"
"272"	"O14832"	"0.054"	"1.1"	" (0.72-1.5)"	"0.077"	"0.78"
"273"	"O14841"	"-0.26"	"0.77"	" (0.53-1.1)"	"1.9"	"0.16"
"274"	"O14867"	"0.26"	"1.3"	" (0.89-1.9)"	"1.9"	"0.17"
"275"	"O14874"	"0.22"	"1.2"	" (0.86-1.8)"	"1.4"	"0.24"
"276"	"O14879"	"0.27"	"1.3"	" (0.9-1.9)"	"2"	"0.15"
"277"	"O14880"	"-0.39"	"0.68"	" (0.47-0.99)"	"4.2"	"0.041"
"278"	"O14893"	"0.12"	"1.1"	" (0.76-1.7)"	"0.36"	"0.55"
"279"	"O14896"	"0.16"	"1.2"	" (0.81-1.7)"	"0.7"	"0.4"
"280"	"O14907"	"-0.49"	"0.61"	" (0.42-0.89)"	"6.7"	"0.0097"
"281"	"O14908"	"0.21"	"1.2"	" (0.85-1.8)"	"1.3"	"0.26"
"282"	"O14920"	"0.26"	"1.3"	" (0.89-1.9)"	"1.8"	"0.18"
"283"	"O14925"	"0.11"	"1.1"	" (0.72-1.7)"	"0.23"	"0.63"
"284"	"O14929"	"0.42"	"1.5"	" (1.1-2.2)"	"5"	"0.026"
"285"	"O14933"	"0.53"	"1.7"	" (1.2-2.5)"	"7.6"	"0.0058"
"286"	"O14936"	"-0.44"	"0.64"	" (0.44-0.93)"	"5.5"	"0.019"
"287"	"O14939"	"-0.052"	"0.95"	" (0.66-1.4)"	"0.075"	"0.78"
"288"	"O14949"	"-0.19"	"0.83"	" (0.57-1.2)"	"1"	"0.32"
"289"	"O14950"	"0.32"	"1.4"	" (0.94-2)"	"2.7"	"0.097"
"290"	"O14964"	"0.25"	"1.3"	" (0.89-1.9)"	"1.8"	"0.18"
"291"	"O14966"	"-0.3"	"0.74"	" (0.51-1.1)"	"2.5"	"0.12"
"292"	"O14972"	"-0.084"	"0.92"	" (0.63-1.3)"	"0.2"	"0.66"
"293"	"O14974"	"-0.054"	"0.95"	" (0.65-1.4)"	"0.081"	"0.78"
