UNIPROT	Entrez	symbol	OV_01OV007_N	OV_17OV003_N	OV_01OV023_N	OV_17OV005_N	OV_01OV017_N	OV_11OV002_N	OV_01OV029_N	OV_14OV011_N	OV_17OV004_N	OV_01OV039_N	OV_15OV001_N	OV_01OV013_N	OV_11OV010_N	OV_01OV019_N	OV_01OV008_N	OV_14OV029_N	OV_01OV010_N	OV_17OV002_N	OV_17OV001_N
A0A0C4DH29	28473	IGHV1-3	NA	0.83353891	1.593406968	0.691731055	1.062222145	2.35272386	-1.437579006	-0.022658092	0.54581179	NA	-0.847346841	1.240129625	1.99192895	0.526869538	-0.081335485	NA	NA	0.261082432	0.205242963
A0A0C4DH34	28400	IGHV4-28	1.095654478	2.237711386	0.593534509	-0.136133454	0.534995197	0.602949884	0.233430324	-0.476026081	0.723097368	0.196428317	0.837887182	0.73485933	1.237026242	-0.84447315	1.293612359	1.496766609	0.077293463	0.938023557	-1.971249979
A0A0C4DH35	28432	IGHV3-35	0.716717915	NA	NA	NA	1.580976782	0.393555509	0.720951325	0.081280033	1.245057127	0.440475131	0.924282416	-0.075925852	-0.748171666	1.010214167	-0.011710674	1.994204037	-0.666848817	-0.033686769	0.50919033
A0A0C4DH36	28429	IGHV3-38	0.521542408	0.872380716	1.713994203	0.998073812	0.750122997	2.50111391	NA	NA	1.163057536	1.062782972	NA	1.760571028	1.972192433	0.433419254	0.103721211	1.866286402	-0.18975632	0.69984469	NA
A0A0C4DH38	28388	IGHV5-51	0.945261031	1.107845998	0.868819818	0.470229679	-0.350030925	1.325345408	1.067635974	0.498163728	1.483579128	1.081456929	1.302975119	-0.294147031	-0.234478403	-0.016712366	0.785564873	2.566331571	-0.339897993	0.673343636	-0.433920058
A0A0J9YX35	102723170	IGHV3-64D	0.369005592	NA	NA	NA	1.249614416	0.978922761	0.029358467	-0.282252109	1.31962206	-0.937226002	0.737460768	-0.480135314	-0.971660791	0.989179031	-1.985788928	2.927739285	NA	NA	-0.243288396
A0A0J9YXX1	28386	IGHV5-10-1	1.384382496	0.132592786	1.130333822	0.68982397	0.84940645	0.97236566	1.275725201	-0.956596875	NA	0.113579541	-1.111835747	0.820698925	-0.113832777	0.933470039	0.938007338	1.535356085	NA	0.485918224	-2.11575366
A0A0U1RRE5	550643	NBDY	0.45624538	0.30519792	-0.515754425	0.329196432	0.57855654	-0.018160162	-0.013474989	-0.459425486	-0.117816109	0.722513238	-0.056072425	1.301459042	0.528191683	-0.149518997	0.932716597	-0.743903215	-0.708047402	0.349599967	0.013355196
A0AV96	54502	RBM47	0.147773303	0.141169356	0.244531183	-0.011406303	-0.26826972	-0.642778319	-0.155235299	-0.328635226	0.025917306	-0.152893003	-0.177738192	-0.286663114	-0.307826907	-0.028885858	0.167682115	-0.041474445	-0.387952351	-0.635845408	-0.52084417
A0AVF1	79989	TTC26	-0.304840475	0.336121249	0.282768089	-0.395824151	-0.328034775	0.409491715	0.796935844	0.392573369	-0.144655061	0.051481674	1.122309377	-0.044023263	0.754660328	1.165072094	-0.015900197	-0.174976073	-0.235269476	0.169117768	0.74723083
A0AVT1	55236	UBA6	0.030594743	-0.182165055	0.422935186	-0.003521424	0.432868554	0.303756172	0.132343417	-0.201815448	0.122855158	0.359829362	0.123680777	-0.094201621	0.154079997	0.464206327	-0.132556867	0.350975321	-0.15567766	-0.045124456	0.070672762
A0FGR8	57488	ESYT2	0.615921286	0.429104856	0.677117721	0.53690711	0.276544867	0.692927131	0.66495151	0.292951501	0.567585007	0.579644312	0.537169102	0.112558327	0.628031607	0.851314775	0.420211554	0.572531637	0.035421957	0.259858797	0.37462125
A0JLT2	219541	MED19	-0.67793794	0.504570533	-0.963682529	0.01545442	0.480966072	0.063934054	-0.168006934	-0.182048105	0.194224186	-0.533444447	-0.353460728	0.079450149	-0.042033143	0.436363244	0.341282222	0.923934895	0.849647483	-1.458105249	0.019392061
A0JNW5	23074	BLTP3B	0.26646613	-0.110810334	0.322616537	0.68629461	-0.257820925	0.589800715	0.555087983	0.469595959	NA	0.487544836	0.678104729	0.445822514	0.437705239	0.091626993	0.747570994	NA	NA	-0.642109588	0.306194366
A0M8Q6	28834	IGLC7	1.315079534	1.783068083	0.758702734	-0.943592492	-1.07141113	0.83123286	-0.258274358	-0.282760679	0.029255771	0.819995245	-1.000145404	0.500920494	1.546090122	-0.134640057	0.615361216	1.046998008	-0.20223505	0.812017805	-1.47370297
A0MZ66	57698	SHTN1	-0.634517376	-0.309444566	-0.499650511	-0.369673087	-0.631891779	-0.879813424	-0.565387487	-0.316089984	-0.008103063	-0.624943509	-0.713196223	-0.500737929	-0.328550016	-0.321943533	-0.293221222	-0.25463861	-0.140105432	0.207329977	0.252764207
A0PJW6	79064	TMEM223	-0.278056447	0.223146117	0.532180999	0.299724603	-0.339779132	-0.093506973	-0.223844043	0.353364916	0.546644018	-0.037821929	0.219904941	0.411102747	0.163267306	-0.212920714	0.131804543	-0.571131884	1.250238045	0.19393919	0.287277572
A0PJW8	92196	DAPL1	NA	-0.858388336	-1.725332048	-0.207192999	-0.362166855	NA	-0.646588508	-1.28724005	0.837967024	-1.130952793	-1.60785419	-0.484638089	-0.0319492	-0.438776013	-0.681020875	-0.636065	0.189241112	NA	1.581408204
A0PJZ3	727936	GXYLT2	-0.746835536	0.577901946	0.393425612	0.495367042	0.030080807	-0.411606815	0.445492779	-0.49708287	-0.053134644	0.075491882	0.081251619	1.213376921	0.284458856	-0.669091923	0.385565558	0.116364673	0.574092153	0.739401242	-0.593788039
A0PK00	144404	TMEM120B	0.706758649	0.166740757	-0.026207589	0.085748342	-0.42720423	-0.257157639	-0.310451651	0.402024161	NA	0.926612959	-0.120558646	-0.185598749	0.1429472	NA	NA	-0.174222728	0.641738932	0.07756708	NA
A1A4S6	79658	ARHGAP10	0.511773464	1.189878929	1.336622859	0.417338332	1.499837454	1.114385261	1.446962074	0.127225111	1.016263777	1.432083086	0.727060923	0.814132235	0.946055047	1.535176733	0.631902585	1.226729352	1.036489018	0.918314674	1.170887024
A1IGU5	389337	ARHGEF37	0.618176243	0.567774674	0.398767957	1.021663082	0.749034633	1.07919676	1.308469375	0.348073042	0.776667336	0.347125235	1.059459591	-0.344269797	0.838246035	1.331395107	0.594716818	1.453611791	0.899701403	-0.864341945	0.877618706
A1L020	92312	MEX3A	0.411154454	NA	NA	NA	NA	NA	0.287135242	0.583883225	0.107321448	1.096390859	0.230916106	0.038120142	0.078166585	0.36777957	0.19727471	-0.989618961	0.233503087	1.045800408	0.345468297
A1L0T0	10994	ILVBL	0.365036718	0.276415886	0.201045874	0.27626954	0.482471521	0.277446329	0.030423404	0.314577188	0.50449279	0.046056158	-0.093307568	0.265304379	0.004249379	0.383364771	0.273678209	0.101574364	0.163776135	0.149773346	0.67739072
A1L170	400793	C1orf226	0.270487207	0.346574772	-0.044480534	-0.052734283	0.751208796	0.267845822	-0.143132602	0.151573175	-0.953515631	-0.447857651	-0.723416682	0.366287205	0.570570746	-0.132368161	0.164502895	0.209649859	0.140760891	0.444510659	-0.978378709
A1L390	26030	PLEKHG3	0.629788132	0.104084189	0.03609928	0.458390915	-0.198318682	-0.309675372	0.155749604	0.259185999	0.601120936	0.112425933	0.341677301	0.522060142	0.712661597	0.134080822	0.696320781	-0.075215142	-1.237593722	-0.035745784	0.272661601
A1L4H1	284297	SSC5D	0.267882416	0.611111025	0.827947855	0.465589197	1.42003142	0.954959401	1.136836954	0.085573615	1.573105049	1.177741765	1.131770263	1.430770566	1.076714329	1.217174339	0.355202139	0.947798754	0.446715582	1.043228233	0.60933168
A1X283	285590	SH3PXD2B	0.228004021	0.302685102	0.079248467	0.174772493	0.302454542	0.343716302	0.188290845	0.013506583	0.384640886	0.594049872	0.287768088	-0.091623959	0.423307295	0.119355738	0.349174039	0.401439959	0.337950396	0.269278814	0.041555178
A1Z1Q3	140733	MACROD2	-0.516668312	0.118715756	0.146817331	-0.434016588	1.182130822	-0.070666654	0.850275758	0.424788144	0.866969138	1.980051049	0.631179755	0.635278134	1.087600993	0.022097301	-0.042180005	0.791042925	0.27875134	0.446271525	1.451762463
A2RRP1	51594	NBAS	0.405371723	0.254700235	0.35493666	0.235548794	0.350338687	0.228270129	0.172132114	0.194933161	0.437351829	0.347787023	0.545156526	0.392677377	0.38890165	0.459163098	0.194927236	0.335201656	0.594617734	0.337911211	0.700475943
A2RTX5	123283	TARS3	-0.057583092	0.408426265	0.826266558	-0.395510577	0.947498476	0.652579345	0.878485168	0.020225151	0.23100494	0.528540663	0.844420082	0.809006425	0.326045201	0.739548345	-0.038215211	0.593417007	1.002427195	-0.241837955	1.834746293
A2RUB1	284071	MEIOC	-2.126087395	0.059014466	-2.642372792	-1.827382346	-0.89799189	0.28690654	1.261937069	-0.616459699	NA	-1.346945689	0.024217651	NA	NA	-2.892481523	-1.502808491	-0.88091378	4.228407168	NA	NA
A2RUS2	22898	DENND3	0.355057845	0.863274304	0.688902085	0.147053714	0.459086541	0.819298353	0.1745172	0.49028287	0.14971067	0.035186019	0.27377584	0.386279804	0.110056552	0.398741385	1.030384079	0.636280891	0.33696907	0.155093713	0.262795948
A2VDF0	282969	FUOM	-0.087885858	-0.192960343	0.229083603	-0.319517576	0.50844682	-1.444028025	-0.15872075	-0.673030558	0.124464353	-0.631592943	-0.520829676	-0.636000577	-0.296221293	-0.11368305	0.451943584	-0.565201802	NA	-0.631229221	-0.709845814
A3KMH1	23078	VWA8	0.639307202	0.246332586	0.326289353	0.351408489	0.39016201	0.248459596	0.242359199	0.689211668	0.41752622	0.222969098	0.445728584	0.414216286	0.279155971	0.282552139	0.40733721	0.116525759	0.750615615	0.297345496	0.100006633
A3KN83	55206	SBNO1	0.018522022	0.237825685	0.073364875	0.009205392	0.250573047	0.195135281	-0.147288127	-0.057084415	0.290118682	-0.24030462	-0.15796751	-0.449467652	-0.069606548	-0.030331263	0.050420788	-0.24528435	0.21338957	-0.102262999	0.077898452
A4D161	340277	FAM221A	1.243112898	NA	NA	NA	0.504084139	0.645983182	0.542498428	1.097577022	0.174153342	0.549142077	0.37486577	0.501528881	-0.376548661	NA	NA	NA	NA	1.117569597	-0.007661242
A4D1E9	85865	GTPBP10	-0.423060685	0.638483965	-0.222172208	0.27560083	0.157159476	0.268862886	-0.26286183	0.037410213	-0.111660522	-0.428504359	-0.426409747	-0.282438839	-0.232861882	-0.22964194	-0.577217845	-0.264293788	0.362311795	-0.45785457	-0.092447923
A4D1P6	29062	WDR91	0.262103454	0.160076606	0.487173429	0.66194519	0.663290421	0.62498557	0.50199042	0.202065057	0.469076277	0.601735046	0.398862328	0.355110781	0.570344047	0.291925128	0.718655151	0.384787284	-0.019582664	0.676689629	0.735202624
A4D1U4	57189	DENND11	-1.246881052	0.112644044	-0.052114367	-0.19011727	0.363133855	0.531970875	1.051821949	0.619953624	0.076949955	-0.008119582	0.850989051	-0.199069921	-0.285918288	0.598604907	1.321584629	0.608222711	0.864451478	-0.620124843	0.266035169
A4FU01	10903	MTMR11	0.523655969	-0.085027176	-0.12364604	-0.345520094	NA	0.705718948	NA	NA	NA	NA	1.017650291	0.124554378	0.669366967	0.142653543	NA	-0.039086545	NA	-5.250667035	1.685913164
A4UGR9	129446	XIRP2	-0.08007013	0.491427138	0.830312619	0.642803076	NA	NA	0.23690848	-0.268272495	-0.073198088	0.195111916	-0.058771735	1.07858247	0.968620714	NA	NA	0.051592544	1.989454772	NA	0.172735017
A5A3E0	728378	POTEF	-0.24695292	1.863284105	0.622993545	0.963770004	-0.524261415	2.254971541	2.63583006	0.17404973	-1.00348486	NA	2.465985933	1.367898359	2.2790418	0.520244997	1.444376134	1.817926707	1.883786718	0.16418985	1.703393774
A5D8V6	55048	VPS37C	-0.290302371	0.447138134	0.300257588	0.732254397	0.13073863	0.420636163	0.602862267	0.140258865	0.544452365	0.220001562	0.655720054	0.479020961	0.952331193	0.295750201	-0.304328563	-0.008796093	0.308998087	0.020058469	0.126616945
A5PLL7	387521	PEDS1	0.062377962	1.224811137	-0.032137359	-0.354290844	0.132121892	-0.65300144	-0.420839174	0.822147936	NA	-0.510439231	-0.404124497	NA	NA	-0.130686449	-0.252112887	-0.39353905	-0.089183956	-1.055696956	0.191880849
A5PLN9	80006	TRAPPC13	0.008868421	0.379348766	0.413868409	-0.497037007	-0.1725805	0.342259934	0.371335384	0.66700821	0.433092467	0.20126586	0.571901262	0.237619253	0.221679739	0.620783889	0.221297745	0.438572737	0.043063994	0.358464846	0.111670593
A5YKK6	23019	CNOT1	-0.044313585	0.255170734	0.245592846	0.230201735	0.375085588	0.140602536	0.31923455	0.447765944	-0.040946502	0.266675932	0.110607029	-0.043683039	0.183055399	0.198802253	0.236778453	0.100231724	0.092885925	0.037779529	0.438097525
A6H8Y1	55814	BDP1	-1.300418113	NA	NA	NA	NA	NA	-0.55048673	-2.162294581	-0.100419446	0.214585703	-1.634638896	-0.204079475	0.169647098	-0.022671844	0.218986177	-0.887747038	-2.850881892	-0.836879195	-2.55174088
A6NC98	283234	CCDC88B	0.727416686	0.381357162	0.870919063	1.4927976	0.075413327	0.228097929	0.132055588	0.712885387	0.968790745	0.200480178	0.514486006	-2.855976641	-1.510501222	0.042066288	0.525934097	0.284624219	0.161620238	0.297916014	-0.343229992
A6NDB9	342979	PALM3	0.27687208	-0.292667318	-0.836744434	0.071134498	-0.59958453	-0.842643484	-0.660212329	-1.508859582	-0.748406922	-1.776998826	-0.257684287	-0.633723387	-0.557116923	-1.035916138	-1.770001697	-0.182557037	0.040913448	0.277771589	1.000827743
A6NDG6	283871	PGP	-0.138163247	-0.007539811	0.088000651	-0.267539623	-0.475144549	-0.183333793	0.047180978	-0.109254363	-0.312563009	-0.566947426	-0.401524776	0.263026267	-0.010337044	-0.470216561	-0.260548207	-0.759888213	0.643092211	-0.222788241	0.171619156
A6NDU8	285636	RIMOC1	0.172713214	0.542162919	-0.122450623	-0.046635944	0.46285565	0.168931754	0.373497435	-0.175932082	-0.226962282	0.160330589	0.535497758	0.273408383	0.304786958	0.37423887	0.162690218	0.389229465	0.32884416	-0.189306779	0.705099673
A6NED2	91433	RCCD1	-0.017450032	NA	NA	NA	0.197876246	0.294471702	0.027236945	-0.104875217	-0.156175336	-0.007020048	0.544270838	0.4870026	-0.079802551	1.452872796	0.468239077	0.453607783	0.405115356	-0.042300216	0.81088546
A6NEE1	400224	PLEKHD1	-1.078752977	0.181471176	0.00324323	0.254546944	NA	0.475155432	-0.163601699	-0.320183293	0.524045916	-0.724822557	0.152896695	-0.518903701	0.699759376	-1.411678894	-4.911634762	-0.372598417	NA	0.064563006	-1.379249736
A6NFI3	100131017	ZNF316	-0.587982006	0.249054315	-0.097364464	1.251001608	-0.35159178	-0.625462414	0.415124447	-0.021757815	-0.74756582	0.5375412	-0.465883349	0.397683701	0.485096134	-0.190179031	-0.113309324	0.271089344	-0.293857649	0.606862538	0.329863682
A6NGB9	644150	WIPF3	0.246548011	1.350737713	0.395831493	0.648396825	NA	NA	NA	-1.022668803	-1.32200653	NA	1.100970258	0.834422606	0.897158685	0.421788952	1.359106538	1.135843943	0.887852249	0.510749084	0.413363524
A6NHL2	79861	TUBAL3	-0.201825651	-0.346328649	-1.33166625	-0.566649448	0.386607237	-0.549898965	-0.323563861	0.03017263	-0.423846438	-1.248962835	-0.286904863	-0.622871678	-0.896408999	-0.513938593	-1.498455186	-0.668151253	-0.720366766	-2.833966602	-1.281326761
A6NHQ2	345630	FBLL1	-1.557437813	-0.978799199	-1.105130714	-1.844771767	-0.564474341	-0.499261017	NA	-1.543970801	0.615027093	-1.302032058	-1.827645737	0.105887235	-0.05103975	-0.088180215	-2.063304715	-0.022477224	-0.745632099	-3.173097455	-0.544716358
A6NHR9	23347	SMCHD1	0.10300202	9.62E-05	0.237442567	-0.32395196	0.340752336	0.30607745	0.243108645	0.220527628	-0.337563746	0.060860691	-0.20369734	0.001683855	-0.088915742	0.320490598	-0.080085302	0.176894859	-0.147857808	-0.003224254	0.416790081
A6NHX0	729438	CASTOR2	-0.13303468	0.127013356	0.364263672	-0.255030783	0.157302787	-0.089385214	0.329498798	0.573567293	-0.556840149	-0.049380175	0.399180918	0.160238262	0.786463323	0.358998098	0.866043446	NA	NA	0.195126719	0.378149915
A6NI28	143872	ARHGAP42	0.238646185	NA	NA	NA	-1.696298525	1.203256732	0.794861605	0.893546837	-0.082402072	0.826395604	0.631681167	0.61096302	0.875562271	-0.114217228	0.505543363	0.457699477	0.298344049	-0.172917322	-0.303549777
A6NIH7	84747	UNC119B	-0.042736239	0.128796563	0.14607254	-0.311393839	0.405091754	0.150083856	0.41094424	-0.190861489	-0.732820612	-0.025048776	-0.330936367	-0.8498226	-0.123592316	0.352253713	-0.714567106	-0.167680048	-0.818781438	-0.677065305	-0.106214071
A6NJ78	196074	METTL15	0.601560282	0.370506815	0.144865818	0.925661577	0.345588462	0.257923309	0.308550564	0.078158952	0.779908334	0.323305476	-0.039017807	0.2814437	0.248314939	0.150848338	0.207862501	0.385266109	0.17083576	0.893938964	0.368191749
A6NKD9	317762	CCDC85C	-0.000524887	NA	NA	NA	1.157716842	0.348990742	0.959159381	1.678076278	NA	-0.487427523	0.66042146	0.37185458	0.356044622	0.417067587	0.316747811	0.393130581	1.286722302	-0.090388457	-0.145356128
A6NMZ7	131873	COL6A6	0.918794213	0.886159123	1.245071016	1.060746648	0.008094826	0.657734091	0.693780954	1.806503306	1.798366825	0.504950971	1.435307875	1.80384483	1.115821792	0.774905745	0.912195839	1.221777019	0.743646915	0.989730326	0.220571182
A7E2V4	23053	ZSWIM8	0.475365671	0.750639625	0.200100129	-0.230608235	0.758089067	0.519786964	0.722590328	0.748186757	0.651917145	-0.276644015	0.424209347	0.541953834	0.442256068	0.086594529	0.418434503	0.114290199	0.117024438	0.124421468	0.724458699
A7KAX9	9743	ARHGAP32	NA	0.792151132	-0.108752465	0.516796197	NA	NA	NA	NA	0.942544226	0.730059525	0.217845581	0.321895624	0.238595469	-0.035375847	0.28414147	-0.027419726	0.322762782	-0.829116696	0.28966743
A8CG34	100101267	POM121C	0.178543271	0.665948022	0.860652335	0.347065227	0.479629917	0.094697727	0.507082249	0.089692461	-0.553950933	NA	0.225935387	NA	NA	NA	NA	0.803256318	-0.328876667	-0.077878507	0.79540833
A8K2U0	144568	A2ML1	0.27578235	0.148345603	-1.31048457	1.67726284	3.746480505	1.080109024	-0.105880501	0.804413781	2.214305709	2.763813657	NA	NA	NA	-0.627703344	-3.956150018	0.069171934	0.427872822	1.219045808	-0.570575392
A8MSI8	201229	LYRM9	0.400305127	0.830264273	0.456738002	0.967253228	0.909217052	0.982399832	1.070961409	0.06028659	NA	NA	0.931051502	0.469257736	0.515037468	0.907950506	0.991107404	0.540285986	0.230082788	0.86926066	0.389362096
A8MTT3	100505876	CEBPZOS	0.384265194	NA	NA	NA	0.10661607	0.456063423	0.083217664	0.809073126	-0.605229188	0.117124456	-0.004797046	0.943560298	0.612754592	0.164295023	0.254161099	NA	NA	0.72997533	1.077822605
A8MVW0	284069	FAM171A2	NA	0.598518085	-0.800348576	-0.164522733	NA	NA	-0.177607306	-0.182273079	1.10798802	0.283778288	0.162701262	0.461677429	0.644880796	0.381296884	1.024825687	NA	NA	0.231303316	-0.097468159
A8MW92	51105	PHF20L1	1.11754057	0.933970804	-0.25555172	0.568871197	0.396598655	-0.195186027	-0.401809279	0.116583327	-0.280152078	-0.449340201	-0.153078425	-0.800944051	-0.709731774	-0.589909885	0.198619208	-0.098512309	0.365523358	0.206058695	0.177978413
A8MXV4	390916	NUDT19	0.144648565	0.162311572	-0.328968855	-0.558435202	-0.250681972	-0.563120631	0.085203427	0.252969175	0.448875033	-0.207520563	-0.292243725	0.151768557	-0.40831763	-0.41591331	0.086194675	0.781866707	0.519146288	-0.006798792	-0.785813646
A8TX70	256076	COL6A5	NA	0.479408925	1.551516276	2.28817077	-1.5730486	0.029396692	-0.658902438	0.557434424	2.262832455	-0.591138483	NA	NA	NA	0.175750159	-0.223060516	0.544078891	-0.111112194	0.493860143	-0.638795473
A9UHW6	57409	MIF4GD	-0.298518829	0.602744274	0.385765577	0.592697753	0.673570134	0.501559831	0.210081259	0.071287705	0.145968955	0.265329047	0.057435943	0.438352267	0.497349414	0.800452463	0.296197362	0.56001624	0.363175648	-0.022512336	0.506539039
B0I1T2	64005	MYO1G	0.14586677	0.183481215	0.914987629	0.00105411	0.304815211	0.179296437	0.425564041	0.544292202	0.460613382	0.199908709	0.353430205	0.639528747	0.111889182	0.443704201	0.288741433	0.583869883	0.520570174	0.749585496	-0.182027822
B1AJZ9	114827	FHAD1	-1.323668656	1.340302227	-1.91363988	-0.529359132	-1.000573789	0.533919444	0.280684911	0.404876776	0.037137706	0.114598748	-0.081967063	-0.799108501	-1.589432344	NA	0.24830115	-0.904487468	-0.020608554	-0.397875945	1.092998599
B1AK53	83715	ESPN	0.202051395	0.235548794	-0.377721735	-0.132044513	0.972665153	0.567768179	0.649804556	0.706249012	0.311704587	-0.222644574	0.226385499	0.00975218	-0.474521486	-0.585215626	-0.709527969	-1.709887378	-0.224425169	0.250174062	-0.526356939
B1ANS9	128025	WDR64	-0.611025669	-0.657357031	0.664205293	0.67014565	NA	NA	0.068190147	-2.934748676	-0.093907939	-0.114718819	-1.612613688	-0.835845675	-1.67749153	-0.925199147	-0.934925552	-2.828459295	-1.762072838	NA	NA
B2RTY4	4649	MYO9A	-0.184423453	0.421767294	-0.214794021	0.581803093	0.293633581	0.315506724	-1.565358231	0.837470395	NA	-0.208938052	0.551358078	0.424218064	-0.393459933	0.293424126	0.430835285	-0.476708547	0.588008234	0.119018088	0.163577587
B2RUZ4	388588	SMIM1	0.59809804	0.909352404	0.21544973	1.383427646	0.540061778	0.821539725	NA	NA	1.189617979	1.125144627	1.45344013	0.274624419	1.212828473	NA	NA	0.123617936	-3.197486552	1.322704859	1.317524859
