symbol	Entrez	UNIPROT	EV_number of experiment	Colorectal cancer cells	Ovarian cancer cells	Breast cancer cells	Kidney cancer cells	Glioblastoma cells	Lung cancer cells	Stomach cancer cells	Hepatoma cells	Pancreatic cancer cells	Pancreatic adenocarcinoma cells
EEF1G	1937	P26641	42	16	9	1	4	9	3	0	0	0	0
KPNB1	3837	Q14974	42	20	9	1	0	6	6	0	0	0	0
TFRC	7037	P02786	42	23	11	3	1	1	3	0	0	0	0
C3	718	P01024	42	9	7	6	4	7	9	0	0	0	0
ACLY	47	P53396	42	19	8	3	5	6	1	0	0	0	0
RALA	5898	P11233	42	20	12	2	2	3	3	0	0	0	0
RAB7A	7879	P51149	42	24	8	4	1	5	0	0	0	0	0
FLOT2	2319	Q14254	42	21	8	3	4	1	5	0	0	0	0
RPS6	6194	P62753	42	18	11	5	3	4	1	0	0	0	0
STIP1	10963	P31948	42	18	9	3	3	0	9	0	0	0	0
CD82	3732	P27701	42	20	10	4	2	3	3	0	0	0	0
PSMA4	5685	P25789	42	19	10	2	1	6	4	0	0	0	0
TARS	6897	P26639	42	16	11	3	3	6	3	0	0	0	0
SNAP23	8773	O00161	42	21	9	4	3	1	4	0	0	0	0
RPL15	6138	P61313	42	19	11	4	4	0	3	0	0	0	1
PSMD6	9861	Q15008	42	18	9	4	1	7	3	0	0	0	0
SPTAN1	6709	Q13813	42	14	9	3	5	2	9	0	0	0	0
RPS13	6207	P62277	42	20	9	3	4	1	5	0	0	0	0
CHMP2A	27243	O43633	42	22	7	4	2	2	5	0	0	0	0
CCT3	7203	P49368	41	18	6	5	3	7	1	0	0	0	1
CDC42	998	P60953	41	22	8	4	3	1	3	0	0	0	0
PFN1	5216	P07737	41	23	5	4	2	4	3	0	0	0	0
TUBB4B	10383	P68371	41	17	9	4	3	6	2	0	0	0	0
EPCAM	4072	P16422	41	23	7	5	5	0	1	0	0	0	0
GNB2	2783	P62879	41	20	8	5	1	2	5	0	0	0	0
GNA13	10672	Q14344	41	22	9	4	3	1	2	0	0	0	0
TAGLN2	8407	P37802	41	19	8	5	3	4	2	0	0	0	0
GNAI3	2773	P08754	41	18	8	4	4	3	4	0	0	0	0
ITGA3	3675	P26006	41	17	8	6	4	4	2	0	0	0	0
RPS18	6222	P62269	41	18	8	4	2	7	2	0	0	0	0
GNA11	2767	P29992	41	19	9	4	4	1	4	0	0	0	0
AGRN	375790	O00468	41	16	7	2	2	10	4	0	0	0	0
FKBP4	2288	Q02790	41	16	10	4	4	0	7	0	0	0	0
P4HB	5034	P07237	41	15	9	3	3	7	4	0	0	0	0
YES1	7525	P07947	41	20	11	4	2	1	3	0	0	0	0
FAM49B	51571	Q9NUQ9	41	19	9	3	4	0	6	0	0	0	0
UGP2	7360	Q16851	41	17	7	4	5	6	2	0	0	0	0
TPM4	7171	P67936	41	18	10	2	4	1	6	0	0	0	0
VTA1	51534	Q9NP79	41	13	11	2	5	0	10	0	0	0	0
ALDOA	226	P04075	40	16	10	4	1	9	0	0	0	0	0
A2M	2	P01023	40	14	9	4	3	10	0	0	0	0	0
KRT10	3858	P13645	40	19	6	0	0	14	0	0	0	0	1
THBS1	7057	P07996	40	11	9	5	0	8	7	0	0	0	0
CLIC1	1192	O00299	40	18	9	5	3	2	3	0	0	0	0
VCL	7414	P18206	40	16	10	3	2	6	3	0	0	0	0
SLC1A5	6510	Q15758	40	18	9	4	1	3	5	0	0	0	0
ARF1	375	P84077	40	17	8	2	4	1	8	0	0	0	0
JUP	3728	P14923	40	21	7	2	3	3	4	0	0	0	0
CCT6A	908	P40227	40	20	8	1	4	2	5	0	0	0	0
CAPZA1	829	P52907	40	14	12	5	3	0	6	0	0	0	0
RPL7	6129	P18124	40	18	10	4	3	1	4	0	0	0	0
HSPA1A	3303	P0DMV8	40	23	9	2	2	2	2	0	0	0	0
HSPA5	3309	P11021	40	19	6	2	1	9	3	0	0	0	0
RAP1A	5906	P62834	40	21	7	4	3	2	3	0	0	0	0
ACTR1A	10121	P61163	40	20	9	5	1	1	4	0	0	0	0
CAP1	10487	Q01518	40	18	7	1	4	0	10	0	0	0	0
RPL8	6132	P62917	40	17	10	5	0	0	7	0	0	0	1
VPS35	55737	Q96QK1	40	17	11	3	3	6	0	0	0	0	0
PYGB	5834	P11216	40	16	7	4	3	7	3	0	0	0	0
NRAS	4893	P01111	40	21	8	4	2	0	5	0	0	0	0
ENO2	2026	P09104	40	19	10	5	1	0	5	0	0	0	0
IMPDH2	3615	P12268	40	19	7	3	4	0	7	0	0	0	0
LAMC1	3915	P11047	40	9	8	3	3	9	8	0	0	0	0
COPB1	1315	P53618	40	19	11	4	2	1	3	0	0	0	0
PDIA3	2923	P30101	40	17	8	4	3	4	4	0	0	0	0
PEF1	553115	Q9UBV8	40	14	9	2	5	0	10	0	0	0	0
PSMD3	5709	O43242	40	19	6	3	2	9	1	0	0	0	0
MYOF	26509	Q9NZM1	40	18	7	5	4	1	5	0	0	0	0
PSAT1	29968	Q9Y617	40	16	9	2	1	0	12	0	0	0	0
EPB41L2	2037	O43491	40	17	12	3	5	1	2	0	0	0	0
GOT1	2805	P17174	40	16	11	3	4	0	6	0	0	0	0
PSMC4	5704	P43686	40	17	10	4	2	2	5	0	0	0	0
RAB6A	5870	P20340	40	21	8	2	3	1	5	0	0	0	0
EIF4E	1977	P06730	40	10	11	3	4	0	12	0	0	0	0
PRDX1	5052	Q06830	39	17	9	6	3	3	0	0	0	0	1
CTNNB1	1499	P35222	39	17	11	2	5	2	2	0	0	0	0
TUBA4A	7277	P68366	39	25	10	2	1	0	1	0	0	0	0
GDI2	2665	P50395	39	19	9	4	1	2	4	0	0	0	0
CTNND1	1500	O60716	39	22	9	1	1	2	4	0	0	0	0
RAB11B	9230	Q15907	39	20	10	4	2	1	2	0	0	0	0
PSMA1	5682	P25786	39	15	8	3	2	7	4	0	0	0	0
PSMA3	5684	P25788	39	18	6	3	6	6	0	0	0	0	0
RPL7A	6130	P62424	39	20	10	4	0	2	3	0	0	0	0
RPL13	6137	P26373	39	18	10	3	4	1	3	0	0	0	0
SRC	6714	P12931	39	17	11	5	4	0	2	0	0	0	0
DHX9	1660	Q08211	39	18	10	4	4	2	1	0	0	0	0
PSMD13	5719	Q9UNM6	39	14	12	4	3	6	0	0	0	0	0
PSMC2	5701	P35998	39	16	6	4	1	9	3	0	0	0	0
IST1	9798	P53990	39	21	8	4	3	0	3	0	0	0	0
RPL3	6122	P39023	39	20	7	5	1	1	5	0	0	0	0
AP2A1	160	O95782	39	21	8	5	3	2	0	0	0	0	0
RPS11	6205	P62280	39	20	11	1	4	3	0	0	0	0	0
NPEPPS	9520	P55786	39	15	8	4	4	6	2	0	0	0	0
G6PD	2539	P11413	39	18	7	5	4	0	5	0	0	0	0
PLS3	5358	P13797	39	18	11	3	4	0	3	0	0	0	0
SCARB1	949	Q8WTV0	39	18	10	5	4	0	2	0	0	0	0
MFI2	4241	P08582	39	13	11	3	3	0	9	0	0	0	0
PPP2CA	5515	P67775	39	18	9	4	3	0	5	0	0	0	0
APP	351	P05067	39	12	7	4	4	7	4	0	0	0	1
LMNA	4000	P02545	39	12	8	3	5	6	5	0	0	0	0
SARS	6301	P49591	39	15	9	5	3	0	7	0	0	0	0
TPP2	7174	P29144	39	19	10	5	2	0	3	0	0	0	0
EIF3M	10480	Q7L2H7	39	17	10	3	2	0	7	0	0	0	0
PRDX4	10549	Q13162	39	19	8	3	4	0	5	0	0	0	0
PSMB3	5691	P49720	39	19	7	3	1	6	3	0	0	0	0
AP2M1	1173	Q96CW1	39	16	11	4	3	2	3	0	0	0	0
RPS17	6218	P08708	39	16	11	4	3	1	4	0	0	0	0
SERPINE2	5270	P07093	39	12	6	3	1	8	8	0	0	0	1
PICALM	8301	Q13492	39	16	9	3	1	1	9	0	0	0	0
BSG	682	P35613	38	17	8	4	3	4	2	0	0	0	0
EIF4A1	1973	P60842	38	20	8	4	1	5	0	0	0	0	0
ITGA6	3655	P23229	38	24	7	4	0	2	1	0	0	0	0
FN1	2335	P02751	38	5	10	6	2	8	7	0	0	0	0
ATP1B1	481	P05026	38	17	11	2	2	1	5	0	0	0	0
ACTG1	71	P63261	38	13	7	6	4	2	6	0	0	0	0
GSN	2934	P06396	38	15	7	4	1	7	4	0	0	0	0
ADAM10	102	O14672	38	18	12	2	1	1	4	0	0	0	0
YWHAH	7533	Q04917	38	17	9	2	4	1	5	0	0	0	0
CAND1	55832	Q86VP6	38	17	9	3	2	6	1	0	0	0	0
DIP2B	57609	Q9P265	38	19	8	2	5	2	2	0	0	0	0
IGSF8	93185	Q969P0	38	22	6	5	0	5	0	0	0	0	0
PSMD2	5708	Q13200	38	13	7	4	2	8	4	0	0	0	0
TUBB3	10381	Q13509	38	18	10	4	2	1	3	0	0	0	0
ARHGDIA	396	P52565	38	17	12	1	4	2	2	0	0	0	0
PSMA5	5686	P28066	38	17	6	3	0	8	4	0	0	0	0
VPS37B	79720	Q9H9H4	38	23	6	5	1	2	1	0	0	0	0
RAP2B	5912	P61225	38	21	6	3	5	1	2	0	0	0	0
RUVBL1	8607	Q9Y265	38	15	9	4	3	6	1	0	0	0	0
RAB2A	5862	P61019	38	18	8	4	3	1	4	0	0	0	0
NCL	4691	P19338	38	14	9	2	2	9	2	0	0	0	0
EPHA2	1969	P29317	38	16	7	4	5	3	3	0	0	0	0
HSPD1	3329	P10809	38	17	7	4	0	6	4	0	0	0	0
SEPTIN2	4735	Q15019	38	13	7	2	5	7	4	0	0	0	0
KIAA0368	23392	Q5VYK3	38	14	11	4	3	0	6	0	0	0	0
PRKDC	5591	P78527	38	13	9	1	5	2	8	0	0	0	0
DARS	1615	P14868	38	17	9	2	1	0	9	0	0	0	0
VIM	7431	P08670	38	12	9	4	3	10	0	0	0	0	0
PPP1CC	5501	P36873	38	20	10	3	1	0	4	0	0	0	0
GPRC5A	9052	Q8NFJ5	38	15	10	5	4	0	4	0	0	0	0
CSNK1A1	1452	P48729	38	15	10	3	2	0	8	0	0	0	0
PSMC5	5705	P62195	38	18	8	3	1	1	7	0	0	0	0
LARS	51520	Q9P2J5	38	15	10	2	2	1	8	0	0	0	0
USP7	7874	Q93009	38	13	9	4	4	0	8	0	0	0	0
CAD	790	P27708	38	19	9	3	0	6	1	0	0	0	0
HARS	3035	P12081	38	8	11	3	2	6	8	0	0	0	0
TJP2	9414	Q9UDY2	38	18	9	3	1	0	7	0	0	0	0
RAN	5901	P62826	37	21	8	3	2	1	1	0	0	0	1
RAB10	10890	P61026	37	19	7	5	0	2	4	0	0	0	0
PRDX2	7001	P32119	37	20	8	6	2	1	0	0	0	0	0
RAB5C	5878	P51148	37	22	7	2	2	3	1	0	0	0	0
SLC2A1	6513	P11166	37	21	6	3	3	2	1	0	0	0	1
HSPA4	3308	P34932	37	15	8	4	1	6	0	0	0	0	3
H2AFY	9555	O75367	37	16	8	4	4	4	1	0	0	0	0
RPS16	6217	P62249	37	21	6	2	3	2	3	0	0	0	0
SLC1A4	6509	P43007	37	19	7	4	1	0	6	0	0	0	0
CYFIP1	23191	Q7L576	37	21	8	4	2	1	1	0	0	0	0
RPL30	6156	P62888	37	15	7	4	5	2	4	0	0	0	0
PSMB6	5694	P28072	37	21	8	5	2	0	1	0	0	0	0
RAB8A	4218	P61006	37	23	9	4	1	0	0	0	0	0	0
CLU	1191	P10909	37	10	6	4	4	12	1	0	0	0	0
KIF5B	3799	P33176	37	15	7	4	3	0	8	0	0	0	0
LAMB1	3912	P07942	37	11	7	3	4	10	2	0	0	0	0
ATP2B4	493	P23634	37	14	8	3	0	3	9	0	0	0	0
RPL21	6144	P46778	37	19	7	2	4	2	3	0	0	0	0
RRAS	6237	P10301	37	22	7	3	4	0	1	0	0	0	0
DLG1	1739	Q12959	37	20	8	2	2	0	5	0	0	0	0
RAP2A	5911	P10114	37	20	8	2	4	0	3	0	0	0	0
LYPLA1	10434	O75608	37	16	10	1	4	0	6	0	0	0	0
EIF3B	8662	P55884	37	17	9	3	1	1	6	0	0	0	0
PARP1	142	P09874	37	16	9	3	1	2	6	0	0	0	0
GGH	8836	Q92820	37	12	10	3	3	6	3	0	0	0	0
HYOU1	10525	Q9Y4L1	37	17	10	2	4	1	3	0	0	0	0
NDRG3	57446	Q9UGV2	37	11	10	3	2	0	11	0	0	0	0
RHOA	387	P61586	36	16	8	1	5	4	2	0	0	0	0
DNAJA1	3301	P31689	36	19	9	3	2	1	2	0	0	0	0
CCT4	10575	P50991	36	18	7	3	0	8	0	0	0	0	0
GNAS	2778	P63092	36	20	9	4	0	2	1	0	0	0	0
EHD4	30844	Q9H223	36	20	7	2	3	2	2	0	0	0	0
RAB1A	5861	P62820	36	19	8	5	0	2	2	0	0	0	0
RAB1B	81876	Q9H0U4	36	20	10	2	2	0	2	0	0	0	0
IDH1	3417	O75874	36	15	9	1	5	4	1	0	0	0	1
EGFR	1956	P00533	36	13	9	2	2	3	2	0	0	0	5
GNAI1	2770	P63096	36	12	9	5	4	1	5	0	0	0	0
GANAB	23193	Q14697	36	15	9	2	1	9	0	0	0	0	0
SND1	27044	Q7KZF4	36	14	10	3	4	1	4	0	0	0	0
NAPA	8775	P54920	36	18	7	3	5	0	3	0	0	0	0
ARPC4	10093	P59998	36	21	8	1	2	2	2	0	0	0	0
HIST1H2BK	85236	O60814	36	14	8	4	2	5	3	0	0	0	0
RPS9	6203	P46781	36	17	7	3	1	7	0	0	0	0	1
CDK1	983	P06493	36	18	8	3	3	0	4	0	0	0	0
UGDH	7358	O60701	36	18	7	3	2	2	4	0	0	0	0
PSMA2	5683	P25787	36	18	8	4	1	1	4	0	0	0	0
WARS	7453	P23381	36	17	7	2	3	0	7	0	0	0	0
PSMB5	5693	P28074	36	15	12	1	0	7	1	0	0	0	0
HSPH1	10808	Q92598	36	13	10	2	5	0	6	0	0	0	0
PACSIN3	29763	Q9UKS6	36	14	8	1	3	0	10	0	0	0	0
CTSD	1509	P07339	36	12	7	3	2	7	5	0	0	0	0
PSMB2	5690	P49721	36	17	9	4	0	6	0	0	0	0	0
TINAGL1	64129	Q9GZM7	36	16	7	3	5	0	5	0	0	0	0
RHOC	389	P08134	36	19	8	3	4	0	2	0	0	0	0
RALB	5899	P11234	36	22	5	4	3	0	2	0	0	0	0
EDIL3	10085	O43854	36	9	9	6	0	8	4	0	0	0	0
QSOX1	5768	O00391	36	14	6	3	3	6	4	0	0	0	0
MTOR	2475	P42345	36	12	9	2	2	0	11	0	0	0	0
IARS	3376	P41252	36	16	9	4	3	1	3	0	0	0	0
DSP	1832	P15924	36	18	6	2	0	2	8	0	0	0	0
HUWE1	10075	Q7Z6Z7	36	13	7	4	4	0	8	0	0	0	0
RARS	5917	P54136	36	18	10	2	3	1	2	0	0	0	0
RPL28	6158	P46779	36	17	7	2	4	1	4	0	0	0	1
NOTCH1	4851	P46531	36	16	9	1	5	0	5	0	0	0	0
ALB	213	P02768	35	14	4	3	0	14	0	0	0	0	0
HIST1H4I	8294	B2R4R0	35	18	6	1	0	10	0	0	0	0	0
CCT5	22948	P48643	35	17	8	3	3	1	3	0	0	0	0
GPI	2821	P06744	35	18	6	2	1	7	1	0	0	0	0
RPLP0	6175	P05388	35	18	7	2	4	2	2	0	0	0	0
RPS8	6202	P62241	35	19	7	2	2	3	2	0	0	0	0
CTNNA1	1495	P35221	35	17	10	3	1	2	2	0	0	0	0
ATP1B3	483	P54709	35	14	8	5	5	1	2	0	0	0	0
RAB35	11021	Q15286	35	19	6	3	5	1	1	0	0	0	0
CD151	977	P48509	35	17	6	5	1	0	6	0	0	0	0
ITIH2	3698	P19823	35	8	8	4	4	7	4	0	0	0	0
HNRNPK	3190	P61978	35	19	10	3	1	0	2	0	0	0	0
ITGAV	3685	P06756	35	17	8	2	4	3	1	0	0	0	0
PCBP1	5093	Q15365	35	16	10	2	3	1	2	0	0	0	1
SLC16A1	6566	P53985	35	20	8	4	1	0	2	0	0	0	0
HSPB1	3315	P04792	35	14	10	4	1	2	4	0	0	0	0
RPS4X	6191	P62701	35	17	7	4	3	1	3	0	0	0	0
VPS28	51160	Q9UK41	35	21	9	2	0	0	3	0	0	0	0
LSR	51599	Q86X29	35	19	8	2	2	0	4	0	0	0	0
AP2A2	161	O94973	35	20	10	4	1	0	0	0	0	0	0
MTHFD1	4522	P11586	35	17	8	3	5	0	2	0	0	0	0
TKT	7086	P29401	35	15	9	2	1	7	1	0	0	0	0
CD44	960	P16070	35	20	7	5	0	3	0	0	0	0	0
PPIB	5479	P23284	35	18	10	2	1	1	3	0	0	0	0
RAB5B	5869	P61020	35	16	8	3	2	0	6	0	0	0	0
RPS10	6204	P46783	35	19	8	4	3	0	1	0	0	0	0
CHMP4B	128866	Q9H444	35	20	8	2	1	2	2	0	0	0	0
DSTN	11034	P60981	35	13	7	6	4	1	4	0	0	0	0
POTEE	445582	Q6S8J3	35	18	3	4	4	0	6	0	0	0	0
COL12A1	1303	Q99715	35	7	11	1	4	7	5	0	0	0	0
VASP	7408	P50552	35	17	8	4	0	0	6	0	0	0	0
GARS	2617	P41250	35	17	11	4	0	1	2	0	0	0	0
MYO1D	4642	O94832	35	17	8	3	2	0	5	0	0	0	0
CLSTN1	22883	O94985	35	14	6	3	4	8	0	0	0	0	0
CLDN3	1365	O15551	35	19	7	2	1	0	6	0	0	0	0
ABCE1	6059	P61221	35	17	8	2	2	0	6	0	0	0	0
OXSR1	9943	O95747	35	12	8	3	2	0	10	0	0	0	0
LASP1	3927	Q14847	35	17	7	3	1	0	7	0	0	0	0
FTH1	2495	P02794	35	8	8	3	4	0	12	0	0	0	0
RANBP1	5902	P43487	35	12	11	3	1	0	8	0	0	0	0
DDAH2	23564	O95865	35	17	11	3	1	0	3	0	0	0	0
TOR1AIP2	163590	Q8NFQ8	35	3	9	4	7	0	12	0	0	0	0
ADSS	159	P30520	35	14	9	1	3	0	8	0	0	0	0
SERPINH1	871	P50454	35	12	9	3	4	2	4	0	0	0	1
GRB2	2885	P62993	35	18	10	3	3	0	1	0	0	0	0
PSMD5	5711	Q16401	35	16	9	4	2	0	4	0	0	0	0
LIN7A	8825	O14910	35	18	9	3	5	0	0	0	0	0	0
RHOB	388	P62745	35	15	8	3	3	0	6	0	0	0	0
QARS	5859	P47897	35	16	6	3	4	0	6	0	0	0	0
USP9X	8239	Q93008	35	12	9	4	2	0	8	0	0	0	0
EIF3C	8663	Q99613	35	11	11	1	3	6	3	0	0	0	0
TGFBI	7045	Q15582	35	20	8	3	1	1	2	0	0	0	0
NAPG	8774	Q99747	35	15	9	6	5	0	0	0	0	0	0
ASS1	445	P00966	35	14	9	3	3	0	6	0	0	0	0
CDK2	1017	P24941	35	16	7	3	5	0	4	0	0	0	0
DNM2	1785	P50570	35	14	9	4	4	0	4	0	0	0	0
GLG1	2734	Q92896	35	9	7	3	0	6	10	0	0	0	0
LGALS3	3958	P17931	35	17	8	5	0	1	4	0	0	0	0
PLOD3	8985	O60568	35	14	7	3	3	6	2	0	0	0	0
DCTN2	10540	Q13561	35	13	10	3	3	0	6	0	0	0	0
RPL26	6154	P61254	35	14	9	3	3	2	4	0	0	0	0
EEF1A2	1917	Q05639	34	18	8	1	4	0	2	0	0	0	1
PHGDH	26227	O43175	34	15	8	1	2	2	6	0	0	0	0
RPL4	6124	P36578	34	15	11	3	0	1	4	0	0	0	0
PGD	5226	P52209	34	15	7	5	0	2	5	0	0	0	0
H2AFV	94239	Q71UI9	34	17	10	3	1	0	3	0	0	0	0
ACTR3	10096	P61158	34	18	8	2	3	1	2	0	0	0	0
CSE1L	1434	P55060	34	21	9	3	0	0	1	0	0	0	0
ITGA2	3673	P17301	34	19	8	1	3	0	3	0	0	0	0
RAB8B	51762	Q92930	34	19	7	1	3	0	4	0	0	0	0
RPL11	6135	P62913	34	17	7	2	3	2	3	0	0	0	0
ARRDC1	92714	Q8N5I2	34	17	9	4	1	0	3	0	0	0	0
CNP	1267	P09543	34	13	10	2	2	3	4	0	0	0	0
MYO1B	4430	O43795	34	19	6	4	3	0	2	0	0	0	0
TXN	7295	P10599	34	16	5	4	5	2	2	0	0	0	0
RPL14	9045	P50914	34	14	9	4	0	2	5	0	0	0	0
ARF6	382	P62330	34	15	7	6	4	0	2	0	0	0	0
XPO1	7514	O14980	34	14	10	3	0	6	1	0	0	0	0
RPLP2	6181	P05387	34	14	6	2	3	7	2	0	0	0	0
TTYH3	80727	Q9C0H2	34	11	7	3	1	2	10	0	0	0	0
HNRNPU	3192	Q00839	34	12	7	3	3	5	4	0	0	0	0
SLC7A5	8140	Q01650	34	15	7	5	4	1	2	0	0	0	0
PLCB3	5331	Q01970	34	17	8	0	1	0	8	0	0	0	0
STXBP3	6814	O00186	34	17	9	4	1	1	2	0	0	0	0
CALR	811	P27797	34	12	9	4	0	7	2	0	0	0	0
LAMP1	3916	P11279	34	14	9	4	3	0	4	0	0	0	0
STX4	6810	Q12846	34	15	10	3	1	0	5	0	0	0	0
